subject,type.of.barrier,experiment,sex,type,trial,time.front.barrier,latency.solve.task
subj01,opaque,1b,F,rete,1,26,62
subj02,opaque,1b,F,rete,1,6,115
subj03,opaque,1b,F,rete,1,40,199
subj04,opaque,1b,F,rete,1,14,32
subj05,opaque,1b,F,rete,1,4,43
subj06,opaque,1b,F,rete,1,32,63
subj07,opaque,1b,F,rete,1,0,4
subj08,opaque,1b,F,rete,1,0,16
subj09,opaque,1b,F,rete,1,44,56
subj10,opaque,1b,F,rete,1,4,13
subj11,transparent,1a,F,vetro,1,15,47
subj12,transparent,1a,F,vetro,1,98,115
subj13,transparent,1a,F,vetro,1,42,66
subj14,transparent,1a,F,vetro,1,29,44
subj15,transparent,1a,F,vetro,1,99,112
subj16,transparent,1a,F,vetro,1,23,52
subj17,transparent,1a,F,vetro,1,190,208
subj18,transparent,1a,F,vetro,1,12,24
subj19,transparent,1a,F,vetro,1,7,23
subj20,transparent,1a,F,vetro,1,83,117
subj21,opaque,1b,F,rete,1,13,45
subj22,opaque,1b,F,rete,1,7,41
subj23,transparent,1a,F,vetro,1,109,122
subj24,transparent,1a,F,vetro,1,15,57
subj25,opaque,1b,M,rete,1,18,94
subj26,opaque,1b,M,rete,1,99,113
subj27,opaque,1b,M,rete,1,1,23
subj28,opaque,1b,M,rete,1,14,108
subj29,opaque,1b,M,rete,1,0,58
subj30,opaque,1b,M,rete,1,2,11
subj31,opaque,1b,M,rete,1,4,31
subj32,opaque,1b,M,rete,1,64,106
subj33,opaque,1b,M,rete,1,53,75
subj34,opaque,1b,M,rete,1,7,61
subj35,transparent,1a,M,vetro,1,3,19
subj36,transparent,1a,M,vetro,1,20,47
subj37,transparent,1a,M,vetro,1,302,327
subj38,transparent,1a,M,vetro,1,746,786
subj39,transparent,1a,M,vetro,1,929,952
subj40,transparent,1a,M,vetro,1,327,346
subj41,transparent,1a,M,vetro,1,474,512
subj42,transparent,1a,M,vetro,1,493,553
subj43,transparent,1a,M,vetro,1,594,628
subj44,transparent,1a,M,vetro,1,173,201
subj45,opaque,1b,M,rete,1,6,22
subj46,opaque,1b,M,rete,1,3,59
subj47,transparent,1a,M,vetro,1,990,1026
subj48,transparent,1a,M,vetro,1,55,77
subj01,opaque,1b,F,rete,2,3,39
subj02,opaque,1b,F,rete,2,30,48
subj03,opaque,1b,F,rete,2,23,44
subj04,opaque,1b,F,rete,2,17,32
subj05,opaque,1b,F,rete,2,14,38
subj06,opaque,1b,F,rete,2,28,35
subj07,opaque,1b,F,rete,2,11,19
subj08,opaque,1b,F,rete,2,0,8
subj09,opaque,1b,F,rete,2,10,19
subj10,opaque,1b,F,rete,2,6,10
subj11,transparent,1a,F,vetro,2,297,314
subj12,transparent,1a,F,vetro,2,31,47
subj13,transparent,1a,F,vetro,2,70,92
subj14,transparent,1a,F,vetro,2,0,5
subj15,transparent,1a,F,vetro,2,140,162
subj16,transparent,1a,F,vetro,2,7,15
subj17,transparent,1a,F,vetro,2,5,23
subj18,transparent,1a,F,vetro,2,315,336
subj19,transparent,1a,F,vetro,2,5,18
subj20,transparent,1a,F,vetro,2,6,18
subj21,opaque,1b,F,rete,2,12,32
subj22,opaque,1b,F,rete,2,3,8
subj23,transparent,1a,F,vetro,2,3,27
subj24,transparent,1a,F,vetro,2,362,406
subj25,opaque,1b,M,rete,2,0,19
subj26,opaque,1b,M,rete,2,2,14
subj27,opaque,1b,M,rete,2,10,17
subj28,opaque,1b,M,rete,2,14,61
subj29,opaque,1b,M,rete,2,23,38
subj30,opaque,1b,M,rete,2,3,21
subj31,opaque,1b,M,rete,2,0,11
subj32,opaque,1b,M,rete,2,16,25
subj33,opaque,1b,M,rete,2,0,13
subj34,opaque,1b,M,rete,2,30,44
subj35,transparent,1a,M,vetro,2,4,21
subj36,transparent,1a,M,vetro,2,27,61
subj37,transparent,1a,M,vetro,2,315,354
subj38,transparent,1a,M,vetro,2,6,20
subj39,transparent,1a,M,vetro,2,682,698
subj40,transparent,1a,M,vetro,2,227,258
subj41,transparent,1a,M,vetro,2,270,347
subj42,transparent,1a,M,vetro,2,87,151
subj43,transparent,1a,M,vetro,2,78,91
subj44,transparent,1a,M,vetro,2,149,219
subj45,opaque,1b,M,rete,2,40,84
subj46,opaque,1b,M,rete,2,32,46
subj47,transparent,1a,M,vetro,2,324,340
subj48,transparent,1a,M,vetro,2,244,288
subj01,opaque,1b,F,rete,3,0,15
subj02,opaque,1b,F,rete,3,15,23
subj03,opaque,1b,F,rete,3,2,19
subj04,opaque,1b,F,rete,3,3,17
subj05,opaque,1b,F,rete,3,30,39
subj06,opaque,1b,F,rete,3,11,35
subj07,opaque,1b,F,rete,3,186,192
subj08,opaque,1b,F,rete,3,9,17
subj09,opaque,1b,F,rete,3,12,17
subj10,opaque,1b,F,rete,3,15,21
subj11,transparent,1a,F,vetro,3,4,15
subj12,transparent,1a,F,vetro,3,16,28
subj13,transparent,1a,F,vetro,3,26,71
subj14,transparent,1a,F,vetro,3,23,29
subj15,transparent,1a,F,vetro,3,257,269
subj16,transparent,1a,F,vetro,3,4,13
subj17,transparent,1a,F,vetro,3,5,11
subj18,transparent,1a,F,vetro,3,14,39
subj19,transparent,1a,F,vetro,3,165,185
subj20,transparent,1a,F,vetro,3,0,30
subj21,opaque,1b,F,rete,3,10,16
subj22,opaque,1b,F,rete,3,12,21
subj23,transparent,1a,F,vetro,3,3,19
subj24,transparent,1a,F,vetro,3,6,23
subj25,opaque,1b,M,rete,3,4,20
subj26,opaque,1b,M,rete,3,1,14
subj27,opaque,1b,M,rete,3,78,94
subj28,opaque,1b,M,rete,3,7,37
subj29,opaque,1b,M,rete,3,22,32
subj30,opaque,1b,M,rete,3,3,19
subj31,opaque,1b,M,rete,3,16,21
subj32,opaque,1b,M,rete,3,9,19
subj33,opaque,1b,M,rete,3,36,52
subj34,opaque,1b,M,rete,3,9,19
subj35,transparent,1a,M,vetro,3,3,20
subj36,transparent,1a,M,vetro,3,16,46
subj37,transparent,1a,M,vetro,3,113,124
subj38,transparent,1a,M,vetro,3,584,626
subj39,transparent,1a,M,vetro,3,6,17
subj40,transparent,1a,M,vetro,3,205,211
subj41,transparent,1a,M,vetro,3,172,186
subj42,transparent,1a,M,vetro,3,15,33
subj43,transparent,1a,M,vetro,3,246,264
subj44,transparent,1a,M,vetro,3,831,843
subj45,opaque,1b,M,rete,3,6,32
subj46,opaque,1b,M,rete,3,2,8
subj47,transparent,1a,M,vetro,3,0,10
subj48,transparent,1a,M,vetro,3,0,12
subj01,opaque,1b,F,rete,4,5,17
subj02,opaque,1b,F,rete,4,0,19
subj03,opaque,1b,F,rete,4,5,44
subj04,opaque,1b,F,rete,4,4,14
subj05,opaque,1b,F,rete,4,4,18
subj06,opaque,1b,F,rete,4,25,38
subj07,opaque,1b,F,rete,4,0,8
subj08,opaque,1b,F,rete,4,8,87
subj09,opaque,1b,F,rete,4,27,32
subj10,opaque,1b,F,rete,4,0,5
subj11,transparent,1a,F,vetro,4,8,27
subj12,transparent,1a,F,vetro,4,44,55
subj13,transparent,1a,F,vetro,4,6,18
subj14,transparent,1a,F,vetro,4,15,27
subj15,transparent,1a,F,vetro,4,28,45
subj16,transparent,1a,F,vetro,4,18,25
subj17,transparent,1a,F,vetro,4,16,26
subj18,transparent,1a,F,vetro,4,12,24
subj19,transparent,1a,F,vetro,4,3,21
subj20,transparent,1a,F,vetro,4,4,47
subj21,opaque,1b,F,rete,4,0,12
subj22,opaque,1b,F,rete,4,0,7
subj23,transparent,1a,F,vetro,4,3,15
subj24,transparent,1a,F,vetro,4,16,33
subj25,opaque,1b,M,rete,4,6,25
subj26,opaque,1b,M,rete,4,2,16
subj27,opaque,1b,M,rete,4,8,32
subj28,opaque,1b,M,rete,4,4,49
subj29,opaque,1b,M,rete,4,2,7
subj30,opaque,1b,M,rete,4,1,52
subj31,opaque,1b,M,rete,4,1,11
subj32,opaque,1b,M,rete,4,3,11
subj33,opaque,1b,M,rete,4,0,12
subj34,opaque,1b,M,rete,4,4,17
subj35,transparent,1a,M,vetro,4,7,56
subj36,transparent,1a,M,vetro,4,0,18
subj37,transparent,1a,M,vetro,4,94,104
subj38,transparent,1a,M,vetro,4,33,60
subj39,transparent,1a,M,vetro,4,5,15
subj40,transparent,1a,M,vetro,4,43,49
subj41,transparent,1a,M,vetro,4,0,11
subj42,transparent,1a,M,vetro,4,29,68
subj43,transparent,1a,M,vetro,4,10,47
subj44,transparent,1a,M,vetro,4,84,96
subj45,opaque,1b,M,rete,4,9,41
subj46,opaque,1b,M,rete,4,0,5
subj47,transparent,1a,M,vetro,4,18,41
subj48,transparent,1a,M,vetro,4,218,239
subj01,opaque,1b,F,rete,5,45,87
subj02,opaque,1b,F,rete,5,11,21
subj03,opaque,1b,F,rete,5,25,111
subj04,opaque,1b,F,rete,5,5,24
subj05,opaque,1b,F,rete,5,2,14
subj06,opaque,1b,F,rete,5,0,40
subj07,opaque,1b,F,rete,5,0,6
subj08,opaque,1b,F,rete,5,0,6
subj09,opaque,1b,F,rete,5,1,8
subj10,opaque,1b,F,rete,5,10,27
subj11,transparent,1a,F,vetro,5,14,31
subj12,transparent,1a,F,vetro,5,5,16
subj13,transparent,1a,F,vetro,5,5,29
subj14,transparent,1a,F,vetro,5,0,4
subj15,transparent,1a,F,vetro,5,44,53
subj16,transparent,1a,F,vetro,5,0,12
subj17,transparent,1a,F,vetro,5,12,19
subj18,transparent,1a,F,vetro,5,25,41
subj19,transparent,1a,F,vetro,5,3,12
subj20,transparent,1a,F,vetro,5,0,9
subj21,opaque,1b,F,rete,5,3,27
subj22,opaque,1b,F,rete,5,0,6
subj23,transparent,1a,F,vetro,5,2,23
subj24,transparent,1a,F,vetro,5,25,43
subj25,opaque,1b,M,rete,5,4,22
subj26,opaque,1b,M,rete,5,1,39
subj27,opaque,1b,M,rete,5,35,86
subj28,opaque,1b,M,rete,5,33,107
subj29,opaque,1b,M,rete,5,0,7
subj30,opaque,1b,M,rete,5,0,15
subj31,opaque,1b,M,rete,5,18,27
subj32,opaque,1b,M,rete,5,16,24
subj33,opaque,1b,M,rete,5,4,16
subj34,opaque,1b,M,rete,5,4,20
subj35,transparent,1a,M,vetro,5,5,55
subj36,transparent,1a,M,vetro,5,19,91
subj37,transparent,1a,M,vetro,5,73,83
subj38,transparent,1a,M,vetro,5,32,35
subj39,transparent,1a,M,vetro,5,8,16
subj40,transparent,1a,M,vetro,5,2,9
subj41,transparent,1a,M,vetro,5,8,60
subj42,transparent,1a,M,vetro,5,29,90
subj43,transparent,1a,M,vetro,5,9,36
subj44,transparent,1a,M,vetro,5,202,222
subj45,opaque,1b,M,rete,5,3,28
subj46,opaque,1b,M,rete,5,4,14
subj47,transparent,1a,M,vetro,5,2,21
subj48,transparent,1a,M,vetro,5,25,33
