fish.id,sex,trial,time.solve.task,first.door,second.door
subj01,F,1,168,1,1
subj02,F,1,111,0,1
subj03,F,1,443,0,1
subj04,F,1,157,1,0
subj05,F,1,175,0,1
subj06,F,1,240,1,1
subj07,F,1,378,0,0
subj08,F,1,672,1,0
subj09,F,1,583,0,0
subj10,F,1,138,0,1
subj11,F,1,126,0,1
subj12,F,1,336,0,1
subj13,F,1,30,1,1
subj14,F,1,378,0,1
subj15,F,1,265,1,0
subj16,F,1,123,1,1
subj17,F,1,320,0,1
subj18,F,1,195,1,0
subj19,F,1,140,1,1
subj20,F,1,343,1,0
subj21,F,1,126,1,1
subj22,F,1,291,1,1
subj23,F,1,79,1,1
subj24,F,1,138,1,1
subj25,M,1,341,1,1
subj26,M,1,175,1,1
subj27,M,1,264,0,1
subj28,M,1,184,1,1
subj29,M,1,141,1,0
subj30,M,1,136,1,1
subj31,M,1,327,1,0
subj32,M,1,335,0,1
subj33,M,1,137,0,1
subj34,M,1,45,1,1
subj35,M,1,379,1,1
subj36,M,1,124,0,1
subj37,M,1,85,1,1
subj38,M,1,289,1,0
subj39,M,1,145,0,1
subj40,M,1,93,0,1
subj41,M,1,501,1,0
subj42,M,1,313,0,0
subj43,M,1,219,0,0
subj44,M,1,101,1,1
subj45,M,1,122,1,1
subj46,M,1,455,0,0
subj47,M,1,234,0,0
subj48,M,1,266,0,1
subj01,F,2,49,1,0
subj02,F,2,60,1,1
subj03,F,2,130,1,1
subj04,F,2,280,0,0
subj05,F,2,284,0,0
subj06,F,2,201,1,1
subj07,F,2,29,1,1
subj08,F,2,405,0,1
subj09,F,2,195,1,1
subj10,F,2,146,0,1
subj11,F,2,93,0,0
subj12,F,2,113,1,0
subj13,F,2,340,0,0
subj14,F,2,216,1,0
subj15,F,2,111,0,1
subj16,F,2,101,0,0
subj17,F,2,99,1,0
subj18,F,2,71,0,1
subj19,F,2,214,0,1
subj20,F,2,64,0,1
subj21,F,2,207,1,0
subj22,F,2,209,1,0
subj23,F,2,537,1,1
subj24,F,2,24,1,1
subj25,M,2,199,0,1
subj26,M,2,75,1,1
subj27,M,2,133,1,1
subj28,M,2,104,1,1
subj29,M,2,32,1,1
subj30,M,2,639,1,0
subj31,M,2,361,0,0
subj32,M,2,22,1,1
subj33,M,2,135,0,1
subj34,M,2,15,1,1
subj35,M,2,244,1,0
subj36,M,2,48,1,1
subj37,M,2,42,1,1
subj38,M,2,110,1,1
subj39,M,2,65,1,1
subj40,M,2,20,1,1
subj41,M,2,109,1,1
subj42,M,2,27,1,1
subj43,M,2,41,1,1
subj44,M,2,70,1,1
subj45,M,2,42,1,1
subj46,M,2,182,1,0
subj47,M,2,83,1,1
subj48,M,2,184,1,1
subj01,F,3,114,0,0
subj02,F,3,436,0,0
subj03,F,3,171,1,1
subj04,F,3,316,1,0
subj05,F,3,196,1,0
subj06,F,3,141,0,1
subj07,F,3,24,1,1
subj08,F,3,299,0,1
subj09,F,3,178,1,0
subj10,F,3,30,1,1
subj11,F,3,105,1,0
subj12,F,3,59,1,1
subj13,F,3,52,1,0
subj14,F,3,146,1,1
subj15,F,3,89,0,1
subj16,F,3,137,0,1
subj17,F,3,189,0,0
subj18,F,3,28,1,1
subj19,F,3,124,1,1
subj20,F,3,111,0,0
subj21,F,3,129,1,0
subj22,F,3,128,1,1
subj23,F,3,163,0,1
subj24,F,3,222,1,0
subj25,M,3,59,1,1
subj26,M,3,93,1,1
subj27,M,3,232,0,0
subj28,M,3,61,1,1
subj29,M,3,64,1,1
subj30,M,3,83,1,1
subj31,M,3,166,0,1
subj32,M,3,91,1,1
subj33,M,3,98,0,1
subj34,M,3,48,1,1
subj35,M,3,188,0,1
subj36,M,3,83,0,1
subj37,M,3,114,1,1
subj38,M,3,362,1,1
subj39,M,3,71,1,1
subj40,M,3,125,0,1
subj41,M,3,537,1,0
subj42,M,3,16,1,1
subj43,M,3,72,1,1
subj44,M,3,34,1,1
subj45,M,3,48,1,0
subj46,M,3,86,1,1
subj47,M,3,204,0,0
subj48,M,3,216,1,1
subj01,F,4,43,1,0
subj02,F,4,323,0,0
subj03,F,4,114,0,1
subj04,F,4,170,0,0
subj05,F,4,212,0,0
subj06,F,4,146,0,1
subj07,F,4,151,0,1
subj08,F,4,88,1,1
subj09,F,4,181,0,1
subj10,F,4,45,1,1
subj11,F,4,71,1,1
subj12,F,4,158,0,1
subj13,F,4,265,0,0
subj14,F,4,336,1,0
subj15,F,4,888,0,0
subj16,F,4,129,0,1
subj17,F,4,179,0,0
subj18,F,4,56,1,0
subj19,F,4,167,1,0
subj20,F,4,236,1,0
subj21,F,4,72,1,1
subj22,F,4,116,1,0
subj23,F,4,193,1,0
subj24,F,4,376,1,0
subj25,M,4,491,1,0
subj26,M,4,155,0,0
subj27,M,4,219,1,1
subj28,M,4,168,1,0
subj29,M,4,167,0,1
subj30,M,4,116,1,0
subj31,M,4,109,1,1
subj32,M,4,215,0,0
subj33,M,4,52,0,1
subj34,M,4,80,1,0
subj35,M,4,194,0,0
subj36,M,4,27,1,1
subj37,M,4,467,0,1
subj38,M,4,193,1,0
subj39,M,4,77,1,1
subj40,M,4,175,1,1
subj41,M,4,738,0,0
subj42,M,4,11,1,1
subj43,M,4,184,0,0
subj44,M,4,101,1,1
subj45,M,4,19,1,1
subj46,M,4,136,1,1
subj47,M,4,155,1,1
subj48,M,4,195,1,0
subj01,F,5,120,0,0
subj02,F,5,99,1,1
subj03,F,5,166,0,1
subj04,F,5,930,1,0
subj05,F,5,178,1,0
subj06,F,5,271,1,1
subj07,F,5,22,1,1
subj08,F,5,390,0,0
subj09,F,5,153,1,1
subj10,F,5,95,0,1
subj11,F,5,83,1,0
subj12,F,5,187,1,1
subj13,F,5,425,0,0
subj14,F,5,409,1,0
subj15,F,5,427,0,1
subj16,F,5,123,0,1
subj17,F,5,150,1,0
subj18,F,5,52,1,0
subj19,F,5,1351,0,0
subj20,F,5,212,1,1
subj21,F,5,97,1,1
subj22,F,5,26,1,1
subj23,F,5,282,1,0
subj24,F,5,250,1,1
subj25,M,5,245,0,0
subj26,M,5,195,1,0
subj27,M,5,254,1,0
subj28,M,5,120,1,0
subj29,M,5,74,0,1
subj30,M,5,109,1,0
subj31,M,5,351,0,0
subj32,M,5,152,0,1
subj33,M,5,223,0,0
subj34,M,5,40,1,1
subj35,M,5,25,1,1
subj36,M,5,135,0,0
subj37,M,5,1239,0,1
